iter	Logloss
0	0.6302512549
5	0.4700049307
10	0.4211878019
15	0.4033627363
20	0.3939204148
25	0.3872543423
30	0.3817700278
35	0.3777259513
40	0.3744094264
45	0.3709580956
50	0.3681993931
55	0.365392531
60	0.3630028818
65	0.3608646871
70	0.3582434039
75	0.3569492736
80	0.3554085082
85	0.3536499897
90	0.3526404045
95	0.3516128656
100	0.3504588357
105	0.3492510125
110	0.3482630125
115	0.3472401571
120	0.3464613915
125	0.3454470209
130	0.344436112
135	0.3435620455
140	0.3427684145
145	0.3417759346
150	0.3405277917
155	0.3396707626
160	0.3387207065
165	0.3374330586
170	0.3370371595
175	0.3362964734
180	0.335908516
185	0.3352072672
190	0.3347320525
195	0.3342266999
200	0.3335278946
205	0.3332156214
210	0.3325957923
215	0.3321321848
220	0.331535027
225	0.3311161851
230	0.3307264629
235	0.3304792168
240	0.3296165199
245	0.3292184826
250	0.3287357334
255	0.3281888394
260	0.3275046958
265	0.3272345748
270	0.3269273245
275	0.3264897822
280	0.3259048425
285	0.3254432713
290	0.3249222728
295	0.3244068403
300	0.3238824479
305	0.3236131075
310	0.3232178193
315	0.3228569792
320	0.3224576861
325	0.3221189064
330	0.3220271352
335	0.321805038
340	0.3217097711
345	0.3215135015
350	0.3211928113
355	0.3209092165
360	0.3206300678
365	0.3200885701
370	0.3198134601
375	0.3195870187
380	0.3190087989
385	0.3188791517
390	0.3186952359
395	0.3181307276
400	0.3178282627
405	0.3176523565
410	0.3174482131
415	0.317120769
420	0.3168832295
425	0.316725922
430	0.3163544929
435	0.3159735609
440	0.3157737617
445	0.3155108697
450	0.3152314155
455	0.3148809947
460	0.3146550963
465	0.3145064772
470	0.3143499503
475	0.3140397133
480	0.3139007329
485	0.31357821
490	0.3134279957
495	0.3131843472
499	0.3130277184
