iter	Passed	Remaining
0	46	22990
1	92	23101
2	138	22869
3	181	22545
4	224	22200
5	265	21880
6	304	21470
7	343	21111
8	385	21021
9	424	20776
10	463	20624
11	505	20539
12	547	20505
13	590	20508
14	633	20493
15	677	20504
16	722	20532
17	781	20935
18	827	20940
19	872	20933
20	920	20998
21	967	21025
22	1010	20956
23	1061	21046
24	1111	21119
25	1156	21077
26	1198	20992
27	1248	21048
28	1306	21216
29	1373	21511
30	1426	21579
31	1476	21599
32	1518	21486
33	1549	21242
34	1591	21140
35	1626	20960
36	1661	20789
37	1694	20600
38	1727	20420
39	1776	20425
40	1843	20643
41	1878	20483
42	1909	20296
43	1943	20144
44	1983	20059
45	2028	20018
46	2065	19912
47	2108	19851
48	2151	19799
49	2212	19912
50	2254	19848
51	2294	19771
52	2332	19674
53	2371	19584
54	2406	19474
55	2440	19345
56	2477	19257
57	2516	19180
58	2555	19097
59	2592	19015
60	2631	18937
61	2664	18823
62	2701	18737
63	2743	18686
64	2782	18619
65	2816	18521
66	2853	18442
67	2886	18336
68	2923	18263
69	2957	18165
70	2994	18091
71	3032	18024
72	3068	17950
73	3108	17892
74	3141	17800
75	3175	17718
76	3234	17771
77	3267	17676
78	3313	17660
79	3350	17588
80	3392	17549
81	3435	17512
82	3469	17428
83	3508	17374
84	3542	17293
85	3580	17237
86	3623	17202
87	3662	17146
88	3706	17114
89	3741	17046
90	3780	16989
91	3818	16933
92	3850	16850
93	3885	16782
94	3929	16754
95	3986	16774
96	4020	16704
97	4057	16642
98	4088	16559
99	4127	16510
100	4161	16439
101	4205	16411
102	4267	16447
103	4313	16425
104	4365	16423
105	4407	16383
106	4466	16405
107	4507	16360
108	4554	16339
109	4604	16326
110	4637	16251
111	4670	16181
112	4707	16121
113	4741	16053
114	4786	16025
115	4832	15996
116	4878	15969
117	4918	15921
118	4951	15854
119	5000	15835
120	5048	15814
121	5092	15777
122	5135	15741
123	5171	15682
124	5226	15678
125	5263	15622
126	5316	15614
127	5357	15570
128	5403	15541
129	5443	15492
130	5481	15441
131	5521	15392
132	5553	15324
133	5590	15269
134	5632	15229
135	5673	15184
136	5706	15119
137	5738	15054
138	5771	14988
139	5804	14926
140	5838	14866
141	5877	14816
142	5911	14757
143	5944	14696
144	5988	14662
145	6024	14606
146	6065	14566
147	6100	14509
148	6129	14439
149	6168	14394
150	6206	14343
151	6241	14290
152	6286	14256
153	6322	14204
154	6359	14154
155	6392	14095
156	6425	14037
157	6460	13983
158	6493	13925
159	6527	13870
160	6561	13814
161	6597	13764
162	6634	13716
163	6677	13680
164	6715	13633
165	6755	13591
166	6796	13551
167	6837	13512
168	6876	13469
169	6911	13416
170	6945	13363
171	6981	13313
172	7020	13269
173	7055	13218
174	7089	13165
175	7125	13118
176	7170	13084
177	7204	13032
178	7238	12980
179	7274	12932
180	7311	12886
181	7349	12840
182	7383	12789
183	7424	12751
184	7461	12704
185	7493	12650
186	7523	12593
187	7558	12543
188	7596	12500
189	7636	12460
190	7671	12411
191	7707	12364
192	7740	12312
193	7781	12274
194	7816	12226
195	7848	12173
196	7886	12130
197	7923	12085
198	7954	12031
199	7993	11990
200	8030	11945
201	8069	11904
202	8113	11870
203	8151	11828
204	8190	11785
205	8226	11740
206	8265	11699
207	8303	11657
208	8341	11614
209	8376	11567
210	8408	11516
211	8451	11480
212	8489	11439
213	8526	11394
214	8565	11354
215	8606	11315
216	8651	11283
217	8689	11240
218	8729	11200
219	8772	11165
220	8818	11133
221	8859	11094
222	8901	11057
223	8940	11016
224	8981	10977
225	9027	10944
226	9061	10898
227	9093	10848
228	9128	10802
229	9169	10764
230	9208	10723
231	9243	10677
232	9280	10634
233	9319	10593
234	9353	10548
235	9389	10503
236	9428	10463
237	9471	10426
238	9507	10383
239	9541	10336
240	9583	10299
241	9623	10260
242	9662	10218
243	9692	10169
244	9728	10125
245	9758	10076
246	9793	10031
247	9829	9987
248	9867	9946
249	9903	9903
250	9941	9861
251	9978	9820
252	10014	9776
253	10050	9733
254	10090	9694
255	10135	9660
256	10179	9625
257	10221	9587
258	10255	9542
259	10291	9500
260	10323	9453
261	10362	9412
262	10394	9366
263	10431	9325
264	10465	9280
265	10504	9241
266	10540	9197
267	10573	9153
268	10623	9122
269	10659	9080
270	10692	9035
271	10730	8994
272	10768	8953
273	10800	8908
274	10842	8871
275	10877	8827
276	10911	8784
277	10952	8745
278	10988	8704
279	11028	8665
280	11069	8627
281	11111	8589
282	11145	8546
283	11187	8508
284	11227	8469
285	11260	8425
286	11293	8381
287	11328	8338
288	11383	8311
289	11418	8268
290	11457	8228
291	11492	8186
292	11524	8141
293	11559	8099
294	11591	8055
295	11628	8014
296	11663	7971
297	11703	7933
298	11741	7893
299	11782	7855
300	11826	7818
301	11863	7778
302	11904	7739
303	11938	7697
304	11975	7656
305	12021	7621
306	12063	7583
307	12098	7541
308	12131	7499
309	12171	7459
310	12203	7416
311	12251	7382
312	12289	7342
313	12325	7301
314	12369	7264
315	12403	7222
316	12450	7187
317	12488	7147
318	12546	7118
319	12601	7088
320	12643	7050
321	12688	7014
322	12723	6972
323	12755	6929
324	12790	6887
325	12825	6845
326	12859	6803
327	12912	6771
328	12953	6732
329	12989	6691
330	13037	6656
331	13072	6615
332	13108	6574
333	13147	6534
334	13180	6491
335	13216	6451
336	13259	6413
337	13297	6373
338	13334	6332
339	13375	6294
340	13415	6255
341	13453	6215
342	13486	6173
343	13523	6132
344	13555	6090
345	13588	6048
346	13625	6007
347	13661	5967
348	13696	5925
349	13742	5889
350	13777	5848
351	13809	5806
352	13842	5764
353	13886	5727
354	13918	5685
355	13951	5643
356	13986	5602
357	14023	5562
358	14063	5523
359	14096	5481
360	14133	5441
361	14170	5401
362	14221	5367
363	14255	5326
364	14297	5288
365	14334	5248
366	14375	5209
367	14412	5169
368	14448	5129
369	14480	5087
370	14514	5046
371	14551	5007
372	14589	4967
373	14620	4925
374	14655	4885
375	14694	4846
376	14728	4805
377	14769	4766
378	14810	4728
379	14845	4687
380	14887	4649
381	14930	4612
382	14966	4571
383	15002	4532
384	15035	4491
385	15066	4449
386	15099	4408
387	15137	4369
388	15173	4329
389	15211	4290
390	15248	4250
391	15294	4213
392	15329	4173
393	15378	4137
394	15416	4097
395	15455	4058
396	15491	4019
397	15528	3979
398	15568	3940
399	15599	3899
400	15635	3860
401	15676	3821
402	15717	3783
403	15761	3745
404	15797	3705
405	15832	3665
406	15873	3627
407	15913	3588
408	15948	3548
409	15990	3510
410	16027	3470
411	16059	3430
412	16095	3390
413	16131	3351
414	16168	3311
415	16205	3272
416	16247	3233
417	16281	3194
418	16321	3155
419	16357	3115
420	16399	3077
421	16446	3039
422	16487	3001
423	16532	2963
424	16570	2924
425	16603	2884
426	16645	2845
427	16681	2806
428	16717	2766
429	16759	2728
430	16798	2689
431	16836	2650
